epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6154,1.5639,8.22548,0.99201,0.00367,0.40849,0.06483,0.04405,1.25801,5.98475,0.96779,0.000251586,0.000251586,0.000251586
2,48.5384,1.4637,5.97364,0.96613,0.1966,0.14421,0.21392,0.14753,1.25783,4.04305,1.01454,0.000497863,0.000497863,0.000497863
3,69.5001,1.43499,5.23556,0.97952,0.22708,0.45334,0.24427,0.15052,1.46038,4.38255,1.18021,0.000733989,0.000733989,0.000733989
4,91.1065,1.34019,4.70613,0.93806,0.39249,0.26787,0.36699,0.23896,1.42518,3.27519,1.11588,0.000723321,0.000723321,0.000723321
5,113.291,1.30041,4.22857,0.94002,0.26275,0.71182,0.38507,0.23773,1.42769,3.20083,1.10595,0.000708095,0.000708095,0.000708095
6,134.27,1.31253,3.96803,0.9358,0.34632,0.50582,0.39063,0.2382,1.41737,3.39371,1.13648,0.000692869,0.000692869,0.000692869
7,155.288,1.26169,3.71789,0.93399,0.31142,0.55885,0.41682,0.28178,1.28686,2.91488,1.14455,0.000677643,0.000677643,0.000677643
8,176.226,1.2975,3.54085,0.936,0.39971,0.62563,0.45817,0.28945,1.27823,2.71701,1.06546,0.000662417,0.000662417,0.000662417
9,198.478,1.29619,3.30475,0.93683,0.39078,0.43336,0.42664,0.27356,1.35742,2.84266,1.08463,0.00064719,0.00064719,0.00064719
10,219.721,1.2462,3.23085,0.92683,0.47655,0.55247,0.51964,0.33676,1.37752,2.48889,1.13858,0.000631964,0.000631964,0.000631964
11,240.796,1.21864,3.03057,0.92765,0.48713,0.51661,0.52536,0.35133,1.32485,2.32382,1.11113,0.000616738,0.000616738,0.000616738
12,261.574,1.22439,2.86729,0.92881,0.41714,0.55404,0.5592,0.37192,1.32045,2.43153,1.11409,0.000601512,0.000601512,0.000601512
13,282.656,1.24731,2.77588,0.93029,0.57699,0.53446,0.58378,0.40652,1.28515,1.91043,1.13806,0.000586286,0.000586286,0.000586286
