epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,305.49,1.24076,2.69861,0.92442,0.42642,0.65761,0.50666,0.32543,1.32461,2.39458,1.09622,0.000571059,0.000571059,0.000571059
15,326.392,1.22126,2.675,0.92196,0.48544,0.61857,0.58331,0.39565,1.3638,1.93292,1.1363,0.000555833,0.000555833,0.000555833
16,346.728,1.20515,2.53779,0.91384,0.486,0.63286,0.5614,0.36905,1.36373,1.94564,1.09151,0.000540607,0.000540607,0.000540607
17,366.661,1.22019,2.44178,0.92299,0.55288,0.62725,0.59367,0.38887,1.27603,2.06731,1.09228,0.000525381,0.000525381,0.000525381
18,388.2,1.21574,2.41371,0.90395,0.50489,0.54124,0.58192,0.39445,1.28591,1.81528,1.09423,0.000510155,0.000510155,0.000510155
19,410.28,1.17192,2.3433,0.91559,0.43471,0.72905,0.57672,0.38405,1.29331,2.24779,1.09095,0.000494928,0.000494928,0.000494928
20,431.026,1.16436,2.30126,0.90715,0.59622,0.59906,0.62132,0.42164,1.27181,1.85248,1.11789,0.000479702,0.000479702,0.000479702
21,452.102,1.17668,2.24673,0.91346,0.67857,0.56828,0.63154,0.43637,1.25971,1.86809,1.07384,0.000464476,0.000464476,0.000464476
22,473.313,1.14458,2.14154,0.90159,0.66555,0.63571,0.64371,0.43693,1.34394,1.90708,1.12791,0.00044925,0.00044925,0.00044925
23,496.444,1.16975,2.14678,0.90784,0.54016,0.63707,0.62782,0.42923,1.34455,1.78582,1.13787,0.000434024,0.000434024,0.000434024
24,517.385,1.13683,2.05134,0.90028,0.67991,0.56188,0.6227,0.41313,1.30958,1.71434,1.08097,0.000418797,0.000418797,0.000418797
25,538.496,1.14696,2.05649,0.90926,0.64292,0.63838,0.63202,0.431,1.27018,1.71132,1.07721,0.000403571,0.000403571,0.000403571
26,559.553,1.15013,2.03138,0.89815,0.62836,0.71071,0.67892,0.46071,1.2875,1.74704,1.05072,0.000388345,0.000388345,0.000388345
27,582.222,1.13985,1.99141,0.89088,0.65418,0.56161,0.65238,0.45296,1.33804,1.82461,1.07292,0.000373119,0.000373119,0.000373119
28,603.771,1.14407,1.983,0.9018,0.6974,0.60238,0.66667,0.45698,1.21905,1.73861,1.03289,0.000357893,0.000357893,0.000357893
29,624.705,1.12421,1.9556,0.89629,0.60668,0.65088,0.69182,0.46417,1.26944,1.57756,1.05122,0.000342666,0.000342666,0.000342666
30,645.52,1.11273,1.88304,0.89153,0.74727,0.57673,0.64741,0.4356,1.38091,1.73458,1.11637,0.00032744,0.00032744,0.00032744
31,666.573,1.14134,1.81198,0.90407,0.55419,0.73823,0.64859,0.44113,1.25886,1.61424,1.0588,0.000312214,0.000312214,0.000312214
32,690.177,1.13709,1.84817,0.88789,0.55491,0.7793,0.64541,0.4431,1.21478,1.6402,1.04825,0.000296988,0.000296988,0.000296988
33,710.961,1.11018,1.80799,0.89671,0.61988,0.58058,0.61581,0.42542,1.23928,1.56336,1.07908,0.000281762,0.000281762,0.000281762
34,731.567,1.08079,1.76832,0.89015,0.46349,0.7567,0.62158,0.43887,1.21139,1.61141,1.03216,0.000266535,0.000266535,0.000266535
35,752.442,1.10746,1.72449,0.89564,0.49831,0.74483,0.66226,0.45415,1.2663,1.63578,1.06438,0.000251309,0.000251309,0.000251309
36,774.497,1.0676,1.67663,0.88195,0.53825,0.68547,0.63486,0.43556,1.32639,1.61342,1.08065,0.000236083,0.000236083,0.000236083
37,800.105,1.11288,1.73341,0.90029,0.54978,0.75857,0.62274,0.42884,1.24948,1.58774,1.04081,0.000220857,0.000220857,0.000220857
38,820.636,1.0639,1.67238,0.87823,0.56136,0.61245,0.62489,0.43777,1.22189,1.61181,1.03565,0.000205631,0.000205631,0.000205631
39,842.483,1.10091,1.61251,0.89735,0.58532,0.67851,0.69976,0.49658,1.27133,1.51809,1.06,0.000190404,0.000190404,0.000190404
40,865.283,1.0652,1.6638,0.88768,0.54003,0.76138,0.68461,0.49042,1.27284,1.60127,1.05643,0.000175178,0.000175178,0.000175178
41,885.268,0.97003,1.44587,0.88511,0.53129,0.70169,0.60448,0.4202,1.25857,1.60029,1.0574,0.000159952,0.000159952,0.000159952
42,904.088,0.96063,1.42653,0.88337,0.5667,0.70278,0.67659,0.47261,1.23698,1.54742,1.0444,0.000144726,0.000144726,0.000144726
43,922.304,0.94857,1.3081,0.87957,0.61497,0.71005,0.70117,0.49827,1.24832,1.51296,1.03037,0.0001295,0.0001295,0.0001295
44,940.478,0.93756,1.31473,0.87379,0.68593,0.63909,0.70027,0.49698,1.18832,1.50524,1.0219,0.000114273,0.000114273,0.000114273
45,959.246,0.93068,1.29652,0.86763,0.75812,0.60682,0.66542,0.47351,1.18621,1.59119,1.0174,9.90472e-05,9.90472e-05,9.90472e-05
46,977.411,0.92631,1.29315,0.86719,0.83675,0.55064,0.68222,0.47986,1.21196,1.48217,1.03224,8.3821e-05,8.3821e-05,8.3821e-05
47,995.937,0.93972,1.26075,0.88399,0.54219,0.70191,0.69113,0.50267,1.18119,1.4994,1.01537,6.85948e-05,6.85948e-05,6.85948e-05
48,1014.54,0.94769,1.25493,0.87187,0.78807,0.55179,0.69343,0.48355,1.24095,1.45801,1.0277,5.33686e-05,5.33686e-05,5.33686e-05
49,1032.66,0.93231,1.22745,0.87454,0.58129,0.68553,0.69041,0.48684,1.2354,1.46063,1.02618,3.81424e-05,3.81424e-05,3.81424e-05
50,1050.53,0.93062,1.19989,0.87207,0.57897,0.68715,0.69025,0.48597,1.23836,1.45106,1.02553,2.29162e-05,2.29162e-05,2.29162e-05
