epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.6745,1.45388,0.87097,1,0.70703,0.000234222,0.000234222,0.000234222
2,65.0962,0.39897,0.99194,1,0.02455,0.000462872,0.000462872,0.000462872
3,86.6051,0.13599,1,1,0.00757,0.000682097,0.000682097,0.000682097
4,108.415,0.10541,1,1,0.00407,0.000671588,0.000671588,0.000671588
5,132.636,0.06896,1,1,0.00256,0.000657451,0.000657451,0.000657451
6,154.008,0.06198,1,1,0.00074,0.000643314,0.000643314,0.000643314
7,175.643,0.05992,0.99597,1,0.00547,0.000629177,0.000629177,0.000629177
8,199.803,0.0475,1,1,0.00033,0.00061504,0.00061504,0.00061504
9,222.487,0.03973,1,1,0.00091,0.000600902,0.000600902,0.000600902
